signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
ALU_tb.Ze,1,0.5,0.5,5e-09,0.5,0.0
ALU_tb.Z[15:0],3,0.2,0.06666666666666667,2e-09,0.2,0.0
ALU_tb.S,3,0.2,0.06666666666666667,2e-09,0.2,0.4
ALU_tb.P,1,0.5,0.5,5e-09,0.5,0.0
ALU_tb.O,1,0.5,0.5,5e-09,0.5,0.0
ALU_tb.Cr,2,0.13333333333333333,0.06666666666666667,1.3333333333333333e-09,0.13333333333333333,0.0
ALU_tb.X[15:0],3,0.2,0.06666666666666667,2e-09,0.2,0.0
ALU_tb.Y[15:0],3,0.2,0.06666666666666667,2e-09,0.2,0.0
ALU_tb.DUT.Carry,2,0.13333333333333333,0.06666666666666667,1.3333333333333333e-09,0.13333333333333333,0.0
ALU_tb.DUT.Overflow,1,0.5,0.5,5e-09,0.5,0.0
ALU_tb.DUT.Parity,1,0.5,0.5,5e-09,0.5,0.0
ALU_tb.DUT.Sign,3,0.2,0.06666666666666667,2e-09,0.2,0.4
ALU_tb.DUT.X[15:0],3,0.2,0.06666666666666667,2e-09,0.2,0.0
ALU_tb.DUT.Y[15:0],3,0.2,0.06666666666666667,2e-09,0.2,0.0
ALU_tb.DUT.Z[15:0],3,0.2,0.06666666666666667,2e-09,0.2,0.0
ALU_tb.DUT.Zero,1,0.5,0.5,5e-09,0.5,0.0
ALU_tb.DUT.Carry_reg,2,0.13333333333333333,0.06666666666666667,1.3333333333333333e-09,0.13333333333333333,0.0
ALU_tb.DUT.Overflow_reg,1,0.5,0.5,5e-09,0.5,0.0
ALU_tb.DUT.Parity_reg,1,0.5,0.5,5e-09,0.5,0.0
ALU_tb.DUT.Sign_reg,3,0.2,0.06666666666666667,2e-09,0.2,0.4
ALU_tb.DUT.Z_reg[15:0],3,0.2,0.06666666666666667,2e-09,0.2,0.0
ALU_tb.DUT.Zero_reg,1,0.5,0.5,5e-09,0.5,0.0
ALU_tb.DUT.temp_sum[16:0],3,0.2,0.06666666666666667,2e-09,0.2,0.0
